period,pre_payment,charge_offs,payment,interest,principal,outstanding_balance
0,0,0,0.0,0.0,0.0,1000000.0
1,0,0,37163.58335974055,16666.666666666668,20496.916693073883,1979503.083306926
2,0,0,74327.1667194811,32991.71805511544,41335.44866436567,2938167.6346425605
3,0,0,111490.75007922165,48969.46057737601,62521.28950184565,3875646.345140715
4,0,0,148654.3334389622,64594.10575234525,84060.22768661696,4791586.117454098
5,0,0,185817.91679870276,79859.76862423496,105958.14817446779,5685627.96927963
6,0,0,222981.50015844332,94760.4661546605,128221.0340037828,6557406.935275848
7,0,0,260145.08351818388,109290.1155879308,150854.96793025304,7406551.967345595
8,0,0,297308.6668779244,123442.53278909324,173866.13408883117,8232685.833256764
9,0,0,334472.25023766496,137211.4305542794,197260.81968338555,9035425.013573378
10,0,0,371635.8335974055,150590.4168928896,221045.41670451587,9814379.596868861
11,0,0,408799.4169571461,163572.99328114768,245226.42367599835,10569153.173192862
12,0,0,445963.00031688664,176152.5528865477,269810.4474303389,11299342.725762524
13,0,0,483126.5836766272,188322.37876270874,294804.2049139184,11004538.520848606
14,0,0,483126.5836766272,183408.97534747678,299717.60832915036,10704820.912519455
15,0,0,483126.5836766272,178413.68187532428,304712.90180130285,10400108.010718152
16,0,0,483126.5836766272,173335.1335119692,309791.4501646579,10090316.560553495
17,0,0,483126.5836766272,168171.94267589154,314954.6410007356,9775361.91955276
18,0,0,483126.5836766272,162922.69865921265,320203.8850174146,9455158.034535345
19,0,0,483126.5836766272,157585.96724225575,325540.6164343715,9129617.418100972
20,0,0,483126.5836766272,152160.29030168286,330966.2933749443,8798651.12472603
21,0,0,483126.5836766272,146644.1854121005,336482.3982645267,8462168.726461502
22,0,0,483126.5836766272,141036.14544102506,342090.43823560217,8120078.2882259
23,0,0,483126.5836766272,135334.63813709834,347791.9455395288,7772286.342686371
24,0,0,483126.5836766272,129538.10571143951,353588.47796518763,7418697.864721185
25,0,0,483126.5836766272,123644.96441201973,359481.61926460743,7059216.245456576
26,0,0,483126.5836766272,117653.60409094294,365472.9795856842,6693743.265870892
27,0,0,483126.5836766272,111562.38776451488,371564.19591211225,6322179.06995878
28,0,0,483126.5836766272,105369.65116597965,377756.93251064746,5944422.137448132
29,0,0,483126.5836766272,99073.7022908022,384052.88138582493,5560369.256062307
30,0,0,483126.5836766272,92672.82093437179,390453.76274225535,5169915.493320052
31,0,0,483126.5836766272,86165.25822200086,396961.3254546263,4772954.167865424
32,0,0,483126.5836766272,79549.23613109041,403577.3475455367,4369376.820319887
33,0,0,483126.5836766272,72822.94700533147,410303.6366712957,3959073.183648592
34,0,0,483126.5836766272,65984.55306080988,417142.0306158173,3541931.1530327746
35,0,0,483126.5836766272,59032.185883879574,424094.39779274765,3117836.755240027
36,0,0,483126.5836766272,51963.945920667116,431162.6377559553,2686674.1174840718
37,0,0,445963.00031688664,44777.901958067865,401185.09835881396,2285489.0191252576
38,0,0,408799.4169571461,38091.483652087634,370707.9333050536,1914781.085820204
39,0,0,371635.8335974055,31913.018097003405,339722.8155003973,1575058.2703198069
40,0,0,334472.25023766496,26250.97117199678,308221.27906566334,1266836.9912541434
41,0,0,297308.6668779244,21113.949854235725,276194.7170236838,990642.2742304597
42,0,0,260145.08351818388,16510.70457050766,243634.37894767133,747007.8952827884
43,0,0,222981.50015844332,12450.131588046472,210531.36857039196,536476.5267123964
44,0,0,185817.91679870276,8941.275445206606,176876.6413534913,359599.8853589051
45,0,0,148654.3334389622,5993.331422648418,142661.00201630892,216938.8833425962
46,0,0,111490.75007922165,3615.6480557099367,107875.10202350686,109063.78131908935
47,0,0,74327.1667194811,1817.7296886514891,72509.43703082475,36554.344288264605
48,0,0,37163.58335974055,609.2390714710767,36554.344288264605,0.0
