country,title_year,,duration,gross,budget,imdb_score,movie_facebook_likes,profit,profit_to_imdb_ratio
AUS,2013.0,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUS,2013.0,mean,143.0,144812796.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
AUS,2013.0,min,143.0,144812796.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
AUS,2013.0,25%,143.0,144812796.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
AUS,2013.0,50%,143.0,144812796.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
AUS,2013.0,75%,143.0,144812796.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
AUS,2013.0,max,143.0,144812796.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
CAN,2010.0,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAN,2010.0,mean,134.0,7501404.0,0.0,7.0,0.0,7501404.0,1027590.0
CAN,2010.0,min,134.0,7501404.0,0.0,7.0,0.0,7501404.0,1027590.0
CAN,2010.0,25%,134.0,7501404.0,0.0,7.0,0.0,7501404.0,1027590.0
CAN,2010.0,50%,134.0,7501404.0,0.0,7.0,0.0,7501404.0,1027590.0
CAN,2010.0,75%,134.0,7501404.0,0.0,7.0,0.0,7501404.0,1027590.0
CAN,2010.0,max,134.0,7501404.0,0.0,7.0,0.0,7501404.0,1027590.0
CZE,205.0,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CZE,205.0,mean,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
CZE,205.0,min,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
CZE,205.0,25%,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
CZE,205.0,50%,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
CZE,205.0,75%,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
CZE,205.0,max,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
DEU,2012.0,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DEU,2012.0,mean,172.0,27098580.0,102000000.0,8.0,124000.0,-74901420.0,-9986856.0
DEU,2012.0,min,172.0,27098580.0,102000000.0,8.0,124000.0,-74901420.0,-9986856.0
DEU,2012.0,25%,172.0,27098580.0,102000000.0,8.0,124000.0,-74901420.0,-9986856.0
DEU,2012.0,50%,172.0,27098580.0,102000000.0,8.0,124000.0,-74901420.0,-9986856.0
DEU,2012.0,75%,172.0,27098580.0,102000000.0,8.0,124000.0,-74901420.0,-9986856.0
