period,asset_cashflow,interest_payment,advance_maintenance_cashflow,operating_net_income,debt_payment,net_cashflow,outstanding_equity,outstanding_asset_balance,outstanding_debt
0,0.0,0.0,250000.0,250000.0,0.0,250000.0,250000.0,1000000.0,750000.0
1,37163.58335974055,5000.0,353830.25002640736,32163.58335974055,0.0,385993.8333861479,635993.8333861479,1979503.083306926,1750000.0
2,74327.1667194811,11666.666666666668,728499.032024106,62660.50005281443,0.0,791159.5320769204,1427153.3654630682,2938167.6346425605,2750000.0
3,111490.75007922165,18333.333333333336,0.0,93157.4167458883,0.0,93157.4167458883,1520310.7822089565,3875646.345140715,3750000.0
4,148654.3334389622,25000.0,1541747.2158792354,123654.3334389622,0.0,1665401.5493181976,3185712.331527154,4791586.117454098,4750000.0
5,185817.91679870276,31666.666666666668,0.0,154151.2501320361,0.0,154151.2501320361,3339863.58165919,5685627.96927963,5750000.0
6,222981.50015844332,38333.333333333336,0.0,184648.16682510998,0.0,184648.16682510998,3524511.7484843,6557406.935275848,6750000.0
7,260145.08351818388,45000.0,0.0,215145.08351818388,0.0,215145.08351818388,3739656.832002484,7406551.967345595,7750000.0
8,297308.6668779244,51666.66666666667,0.0,245642.00021125772,0.0,245642.00021125772,3985298.8322137417,8232685.833256764,8750000.0
9,334472.25023766496,58333.333333333336,0.0,276138.91690433165,0.0,276138.91690433165,4261437.749118073,9035425.013573378,9750000.0
10,371635.8335974055,65000.00000000001,4518953.736464472,306635.8335974055,0.0,4825589.570061877,9087027.31917995,9814379.596868861,10750000.0
11,408799.4169571461,71666.66666666667,0.0,337132.7502904794,0.0,337132.7502904794,9424160.06947043,10569153.173192862,11750000.0
12,445963.00031688664,78333.33333333334,0.0,367629.6669835533,9424160.06947043,367629.6669835533,367629.66698355414,11299342.725762524,2325839.93052957
13,483126.5836766272,15505.599536863803,0.0,467620.9841397634,367629.66698355414,467620.9841397634,467620.9841397634,11004538.520848606,1958210.263546016
14,483126.5836766272,13054.735090306775,0.0,470071.8485863204,467620.9841397634,470071.8485863204,470071.8485863204,10704820.912519455,1490589.2794062528
15,483126.5836766272,9937.261862708352,0.0,473189.3218139188,470071.8485863204,473189.3218139188,473189.3218139188,10400108.010718152,1020517.4308199324
16,483126.5836766272,6803.449538799549,0.0,476323.13413782767,473189.3218139188,476323.13413782767,476323.13413782767,10090316.560553495,547328.1090060135
17,483126.5836766272,3648.85406004009,0.0,479477.7296165871,476323.13413782767,479477.7296165871,479477.7296165871,9775361.91955276,71004.97486818582
18,483126.5836766272,473.3664991212388,0.0,482653.21717750595,71004.97486818582,482653.21717750595,891125.9719259073,9455158.034535345,0.0
19,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,1374252.5556025344,9129617.418100972,0.0
20,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,1857379.1392791616,8798651.12472603,0.0
21,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,2340505.722955789,8462168.726461502,0.0
22,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,2823632.3066324163,8120078.2882259,0.0
23,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,3306758.8903090437,7772286.342686371,0.0
24,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,3789885.473985671,7418697.864721185,0.0
25,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,4273012.057662298,7059216.245456576,0.0
26,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,4756138.641338925,6693743.265870892,0.0
